name,desc,list,labels,assignee,members
"[S1-US1] Setup Entorno","## Tareas
- [ ] Verificar docker-compose.yml
- [ ] Configurar pytest
- [ ] Configurar ESLint + Prettier
- [ ] Crear script setup.sh
- [ ] Documentar instalación local","To Do","Backend",Senior,""
"[S1-US2] JWT Login/Refresh","## Tareas
- [ ] Implementar POST /api/auth/login
- [ ] Implementar POST /api/auth/refresh
- [ ] Implementar GET /api/auth/me
- [ ] Crear dependencia get_current_user
- [ ] Configurar CORS","To Do","Backend",Senior,""
"[S1-US3] Gestionar Usuarios","## Tareas
- [ ] CRUD /api/core/usuarios
- [ ] Componente ListaUsuarios
- [ ] Componente FormUsuario","To Do","Backend,Frontend",Senior,""
"[S1-US4] Gestionar Empresas","## Tareas
- [ ] CRUD /api/core/empresas
- [ ] CRUD series documentales
- [ ] Componente ListaEmpresas
- [ ] Componente FormEmpresa","To Do","Backend,Frontend",Junior 1,""
"[S1-US5] Plan de Cuentas","## Tareas
- [ ] Modelo con jerarquía
- [ ] CRUD /api/contabilidad/plan-cuentas
- [ ] Frontend: ListaCuentas","To Do","Backend,Frontend",Junior 1,""
"[S1-US6] Asientos Contables","## Tareas
- [ ] Modelo Asiento, DetalleAsiento
- [ ] POST /api/contabilidad/asientos
- [ ] Validación partida doble
- [ ] Frontend: FormAsiento","To Do","Backend,Frontend",Junior 1,""
"[S1-US7] Dashboard/Login","## Tareas
- [ ] Configurar vite proxy
- [ ] Actualizar api.ts
- [ ] Componente Login.tsx
- [ ] Store auth.ts
- [ ] ProtectedRoute","To Do","Frontend",Junior 3,""
"[S2-US1] Aprobar/Cerrar Asientos","## Tareas
- [ ] POST /api/asientos/{id}/aprobar
- [ ] POST /api/asientos/{id}/cerrar
- [ ] Frontend: Botones","To Do","Backend,Frontend",Junior 1,""
"[S2-US2] Balance Comprobación","## Tareas
- [ ] GET /reportes/balance_comprobacion
- [ ] Query filtros
- [ ] Frontend: Tabla balance","To Do","Backend,Frontend",Junior 1,""
"[S2-US3] Libro Mayor","## Tareas
- [ ] GET /reportes/mayor
- [ ] Frontend: MayorCuenta","To Do","Backend,Frontend",Junior 1,""
"[S2-US4] Gestionar Almacenes","## Tareas
- [ ] Modelo Almacen
- [ ] CRUD /api/inventario/almacenes
- [ ] Frontend","To Do","Backend,Frontend",Junior 1,""
